username;ip_address;product;price;infos
ldrover0;666.666.666.666;Clam - Cherrystone;712.8;May contain sugar
kizakov1;nope;Soup - Campbells Bean Medley;379.26;Contains peanut and fish
abromet2;240.177.79.234;Island Oasis - Lemonade;305.96;Ingredients: mustard and fish
kkarolowski3;26.191.237.49;Water - Mineral, Natural;350.15;Contains gluten
mbuckney4;58.90.204.239;Radish - Pickled;949.79;May contain sugar, egg and fish
bsnozzwell5;226.52.32.70;Oil - Sesame;354.33 MGA;Ingredients: sugar and milk
afairholme6;127.197.204.119;Chicken - Tenderloin;484.83;May contain sugar
avowdon7;189.169.17.54;Dc Hikiage Hira Huba;111.56;Contains sugar
epridham8;187.129.113.105;Dried Figs;88.05;Ingredients: sugar, milk and fish
tkendrew9;22.32.234.215;Pop - Club Soda Can;861.25;May contain peanut, sugar, milk and fish
cjagielaa;75.254.207.163;Cinnamon Rolls;966.34;Contains peanut, sugar, egg and fish
jdolbeyb;17.105.113.72;Wine - Ice Wine;679.57;Ingredients: mustard, sugar and milk
chaylandsc;208.239.186.79;Chicken Thigh - Bone Out;725.88;Ingredients: gluten and sugar
mvidelerd;116.18.56.20;Trout Rainbow Whole;178.58;May contain peanut
jmulvine;87.198.88.207;Bread Crumbs - Panko;150.89;Ingredients: gluten, soja, sugar and milk
kcaldeyrouxf;138.44.156.99;Vector Energy Bar;72.51;Ingredients: gluten, soja, sugar and milk
ctaftg;18.61.195.234;Versatainer Nc - 888;373.96;Ingredients: soja and sugar
ksumptonh;150.214.20.140;Bagel - Ched Chs Presliced;957.7 EUR;Contains peanut, sugar and egg
aloweri;157.197.190.113;Dry Ice;963.32;Contains sugar and milk
sgarmeyj;219.75.213.15;Nantucket - Kiwi Berry Cktl.;772.7;Contains gluten, soja, sugar, egg and fish
mjahndelk;225.250.18.162;Gherkin;550.63;May contain soja
chayhurstl;157.145.5.133;Muffin - Bran Ind Wrpd;705.45;Ingredients: soja and sugar
rpayntonm;105.123.55.143;Tart Shells - Savory, 3;135.84;Ingredients: peanut, soja and sugar
ahammelbergn;222.143.75.39;Wine - Manischewitz Concord;658.92;Ingredients: sugar
dpico;17.226.242.68;Bread - Pain Au Liat X12;917.69;Contains sugar, milk and fish
bberntp;201.51.7.205;Extract - Almond;355.46;May contain sugar and milk
vdeniskevichq;177.248.202.127;Soup Campbells Turkey Veg.;952.08;Ingredients: egg and fish
apesr;24.1.79.147;Numi - Assorted Teas;770.98;Contains mustard and sugar
mheynels;123.157.88.33;Cranberries - Dry;524.1;Ingredients: gluten, soja and sugar
rmackessockt;254.37.135.127;Bread - Roll, Canadian Dinner;597.95;Ingredients: sugar and milk
grommeu;254.21.208.244;Mousse - Mango;709.39;Contains sugar, egg and fish
dbocockv;134.167.195.239;Bacardi Mojito;269.56;Contains mustard, milk and fish
mcamousw;140.223.76.83;Beer - Corona;254.98;May contain mustard, sugar, milk and fish
imildnerx;67.232.83.24;Pasta - Shells, Medium, Dry;328.83;May contain gluten, sugar and milk
cmilellay;124.100.237.236;Pears - Fiorelle;622.46;Contains soja and milk
jburdinz;12.218.65.100;Cheese - Cheddarsliced;336.88;Ingredients: gluten
mbelding10;22.73.245.49;Cheese - Ricotta;756.85;May contain gluten and sugar
shiers11;191.45.106.36;Juice - Lemon;683.29;Ingredients: peanut, milk and fish
sbaudassi12;47.153.1;Longos - Grilled Veg Sandwiches;524.5;May contain sugar and fish
gtingle13;32.112.67.248;Soup - French Can Pea;764.56;Ingredients: soja, sugar, egg and fish
lbadsey14;188.98.203.195;Truffle Paste;353.48;May contain sugar and fish
gallsepp15;167.174.244.176;Beef Wellington;512.06;May contain soja, sugar and egg
kbeecheno16;21.124.12.215;Pickle - Dill;763.44;Contains mustard, sugar and egg
rsedgeman17;190.233.51.35;Juice - Clam, 46 Oz;512.02;Contains sugar
fkillimister18;143.75.128.57;Scallops - Live In Shell;743.2;Ingredients: soja, sugar and milk
tsaile19;41.63.88.3;Ham - Virginia;789.78 EUR;Ingredients: sugar and egg
estolz1a;32.77.50.179;Curry Paste - Green Masala;662.6;Ingredients: soja, sugar and fish
breven1b;201.14.107.40;Water - San Pellegrino;53.8;May contain peanut, soja, sugar and milk
tnusche1c;109.144.241.78;Tomatoes - Grape;852.58;May contain peanut, sugar and fish
ychuter1d;136.251.73.188;Coconut - Shredded, Unsweet;985.06;May contain peanut, mustard, sugar and milk
dlambdean1e;246.216.13.211;Aspic - Light;110.24;May contain egg
dempson1f;220.115.202.199;Rum - Spiced, Captain Morgan;342.82;Contains gluten, sugar and milk
gborham1g;180.2.219;Squash - Guords;92.26;May contain sugar, egg and fish
fsouthey1h;69.135.112.215;Sansho Powder;207.7;Ingredients: peanut, soja, egg and fish
hturbern1i;223.25.136.102;Ham - Virginia;77.98;Contains gluten and sugar
jmalia1j;6.120.0.29;Veal - Inside Round / Top, Lean;515.54;Contains soja
rpittendreigh1k;178.154.116.57;Crab - Meat Combo;330.19;Ingredients: peanut, sugar and fish
arichings1l;207.0.191.149;Beef - Sushi Flat Iron Steak;86.64;Ingredients: mustard
vhadingham1m;109.242.195.131;Sloe Gin - Mcguinness;167.6;May contain sugar and fish
cwrenn1n;38.125.216.233;Cheese - Perron Cheddar;925.05;May contain gluten, soja and milk
hdulieu1o;35.105.188.50;Kellogs Raisan Bran Bars;537.55;Contains mustard, egg and fish
iprendiville1p;104.27.157.229;Grouper - Fresh;689.88 USD;May contain peanut
emessum1q;133.56.53.78;Milk - Chocolate 250 Ml;72.36;Ingredients: gluten, mustard and sugar
hbraunes1r;46.14.231.6;Seedlings - Clamshell;260.21 CNY;May contain gluten, soja and sugar
hreidshaw1s;104.137.59.250;Rice Pilaf, Dry,package;992.68;Ingredients: soja, sugar and egg
dtremouille1t;176.211.210.96;Bacardi Limon;746.54;Ingredients: gluten and fish
rbeake1u;244.35.187.136;Pasta - Orzo, Dry;677.81;May contain sugar and egg
gbayles1v;40.155.15.190;Wine - Two Oceans Cabernet;130.84;Contains gluten, sugar, milk and fish
lbloxsom1w;336.192.150.109;Cinnamon - Ground;602.35;Ingredients: soja, sugar and fish
psemechik1x;38.360.77.106;Curry Paste - Madras;976.51;Contains mustard, sugar, milk and fish
easgodby1y;43.219.225.156;Cake Circle, Foil, Scallop;616.3;May contain sugar
sjanusz1z;127.128.57.9;Pastry - Raisin Muffin - Mini;770.99;May contain gluten, soja, sugar and fish
mbillborough20;127.8.161.201;Port - 74 Brights;493.64;May contain gluten and sugar
ptzuker21;86.115.203.240;Jam - Strawberry, 20 Ml Jar;828.1 SEK;Ingredients: sugar, egg and fish
kchasmoor22;142.7.77.36;Puff Pastry - Slab;302.27;Ingredients: soja and egg
apopland23;155.168.213.24;Lamb - Ground;379.99;Ingredients: egg
bhansbury24;18.168.190.176;Lemonade - Kiwi, 591 Ml;179.05;Contains fish
abrimicombe25;158.169.121.162;Crackers - Graham;226.79;May contain egg and fish
kcesaric26;26.171.48.220;Ecolab - Medallion;269.55;Contains gluten, sugar and egg
mlightowlers27;49.33.151.84;Banana Turning;135.11 EUR;Contains sugar, milk and fish
hbetts28;92.153.201.202;Nut - Pecan, Pieces;543.2;Contains gluten, sugar, milk and fish
cwhitaker29;98.137.66.63;V8 Splash Strawberry Kiwi;426.88;Ingredients: gluten, soja, sugar, egg and fish
sminshull2a;103.46.67.17;Coffee Cup 8oz 5338cd;798.3;May contain peanut and sugar
hkinnear2b;187.45.179.240;Flower - Commercial Bronze;969.01;Ingredients: peanut
lflaherty2c;77.158.148.198;Milk - 2%;178.89;Contains sugar, milk and fish
etremain2d;117.116.192.82;Bacardi Mojito;407.58;May contain peanut and soja
vfinnis2e;182.63.139.137;Bread - Rolls, Rye;539.62;May contain peanut, soja and fish
nbartozzi2f;250.55.159.47;Lemon Balm - Fresh;217.09;May contain gluten, milk and fish
etoulamain2g;70.155.199.76;Lemons;750.37 USD;Ingredients: soja, egg and fish
jrehme2h;157.108.157.105;Melon - Watermelon, Seedless;82.38;May contain peanut, sugar and fish
lfritter2i;163.69.250.215;Wine - Ruffino Chianti;530.38;Ingredients: peanut, soja, milk and fish
dsparshett2j;236.107.54.47;Wine - Cahors Ac 2000, Clos;829.75;Ingredients: gluten, mustard, sugar, egg and fish
tpinnigar2k;116.190.103.104;Brandy - Orange, Mc Guiness;883.19;Ingredients: peanut, sugar and milk
jbeazer2l;22.136.119.134;Mustard - Pommery;58.46;Ingredients: mustard, sugar and egg
ggingell2m;19.106.249.206;Papayas;87.02;May contain gluten, mustard, sugar and fish
adeam2n;137.202.171.150;Versatainer Nc - 888;823.0 ARS;May contain gluten, sugar and egg
pluton2o;127.148.93.213;Pork - Bacon, Sliced;846.88;May contain gluten, mustard, sugar and egg
sroz2p;116.106.48.241;Soup - Verve - Chipotle Chicken;315.17;Contains sugar and fish
mmacsween2q;99.8.210.33;Cherries - Fresh;488.34;May contain peanut, mustard, sugar and milk
gwreight2r;118.73.14.248;Lady Fingers;666.93;Contains soja and fish
byellop2s;249.67.24.2;Herb Du Provence - Primerba;708.98;Contains sugar and egg
bsibbering2t;152.346.35.103;Oil - Hazelnut;681.22;Ingredients: sugar, egg and fish
vkneal2u;57.102.222.77;Chicken - Leg / Back Attach;251.91 KES;May contain gluten, sugar, milk and fish
shaysey2v;122.225.117.164;Soup - Knorr, French Onion;854.35;May contain gluten, sugar, milk and fish
bmclevie2w;136.232.122.2;Lentils - Red, Dry;99.92;Contains mustard and sugar
hgives2x;253.176.78.127;Cardamon Seed / Pod;64.32;Ingredients: mustard and sugar
nlampkin2y;49.215.30.109;Tomato - Plum With Basil;990.81;Ingredients: peanut, mustard, sugar and egg
ctowndrow2z;87.59.190.114;Bread - Pita;767.62;May contain soja, sugar and egg
fjennemann30;223.203.79.58;Wine - Red Oakridge Merlot;372.13;Ingredients: gluten, sugar and fish
amcluckie31;9.31.113.10;Sauce - Plum;314.33;Ingredients: sugar
blorent32;243.233.167.154;Easy Off Oven Cleaner;340.48 BRL;Ingredients: soja and milk
ccota33;188.89.170.252;Soup - Campbells Mac N Cheese;635.85;Contains fish
kdimanche34;18.112.24.144;Mushroom - Lg - Cello;494.44;May contain peanut, sugar and milk
ddrakeley35;109.90.30.99;Clam Nectar;661.49;Contains peanut, soja and sugar
aatack36;158.197.55.255;Tamarind Paste;946.48;May contain gluten, sugar and fish
bdelacote37;15.43.177.3;Sugar - White Packet;92.2;Contains gluten and egg
bdinjes38;202.58.212.28;Lid Tray - 16in Dome;295.04;May contain peanut and sugar
zpawelski39;95.30.190.244;Beef - Salted;958.96;Ingredients: peanut, mustard, sugar and fish
zembleton3a;134.10.200.254;Wine - Pinot Noir Latour;944.51;Contains soja, sugar and milk
mwalaron3b;160.32.117.250;Flour - Cake;572.22;Ingredients: mustard and sugar
cgorusso3c;16.157.249.370;Pasta - Shells, Medium, Dry;940.51 EUR;Contains gluten and sugar
kjanu3d;64.255.164.81;Langers - Cranberry Cocktail;292.42;Contains peanut, mustard, sugar, milk and fish
wizacenko3e;133.113.234.50;Shopper Bag - S - 4;829.43;May contain peanut, mustard and milk
pmcdermid3f;30.149.187.196;Tomatoes - Orange;484.76;Ingredients: peanut and sugar
agiannazzo3g;62.195.228.210;Tilapia - Fillets;163.07;Contains mustard, sugar and fish
babramow3h;80.78.230.239;Lobster - Base;133.99;Contains soja, sugar and fish
hmaggillandreis3i;155.129.104.232;Smoked Paprika;811.36;Contains soja
gthompsett3j;189.42.57.44;Flour - Teff;334.02;May contain sugar and fish
bbenzie3k;125.123.26.205;Beer - Blue;98.5;Ingredients: sugar
dedgin3l;146.170.32.157;Ham - Smoked, Bone - In;109.46;Contains gluten, soja, sugar and fish
sclaque3m;119.240.194.250;Duck - Legs;592.53 EUR;May contain soja and milk
hfenich3n;250.77.192.202;Pepper - Green, Chili;204.86;May contain peanut, sugar and fish
tstriker3o;43.192.210.210;Squash - Guords;378.17;Ingredients: peanut, mustard and sugar
medensor3p;49.39.42.217;Pastry - French Mini Assorted;901.63;May contain sugar and fish
clawles3q;247.213.246.26;Water - Aquafina Vitamin;418.06;Ingredients: sugar, egg and fish
chessentaler3r;243.254.233.38;Lamb - Loin, Trimmed, Boneless;633.38;Ingredients: gluten and soja
jdorran3s;76.111.27.142;Club Soda - Schweppes, 355 Ml;552.13;May contain gluten, soja and milk
zstendall3t;184.54.169.136;Cake - Pancake;739.14;May contain gluten and fish
swraxall3u;39.134.108.13;Beans - Navy, Dry;730.08 EUR;Contains sugar, egg and fish
lvanrembrandt3v;89.198.127.212;Nut - Pecan, Pieces;285.06;Contains sugar and fish
hberkely3w;96.111.78.174;Beans - Yellow;746.62;Ingredients: mustard and sugar
bstollmeyer3x;100.31.73.144;Cheese - Asiago;932.02;Contains peanut, soja, sugar and egg
eemloch3y;377.183.202.192;Garbage Bags - Clear;576.38;Contains peanut and sugar
rskinley3z;26.109.234.104;Cookies Oatmeal Raisin;694.19;Contains gluten, mustard, sugar, milk and fish
dchopy40;154.127.191.11;Papayas;738.26;Ingredients: gluten, soja and sugar
fasey41;84.156.203.12;Island Oasis - Strawberry;295.55;Contains gluten, sugar and fish
swrightson42;147.29.39.123;Beans - Navy, Dry;872.59 AMD;Ingredients:
wcoverley43;123.198.133.228;Chips - Assorted;669.46;May contain peanut, mustard, egg and fish
rdymoke44;182.221.65.205;Water - Tonic;766.0;Contains sugar and egg
mdenge45;7.73.129.15;Kellogs Special K Cereal;374.6;Ingredients: gluten, mustard, sugar and fish
sleadbeatter46;88.6.251.117;Calaloo;631.98;Contains mustard, sugar, egg and fish
frealph47;173.217.67.181;Towel - Roll White;354.54;Ingredients: mustard, sugar and milk
bgreenslade48;99.73.216.25;Sugar - Individual Portions;619.44;Ingredients: gluten, soja, sugar, milk and fish
hmarsham49;49.142.234.10;Sugar - Splenda Sweetener;858.66;Contains
cjankiewicz4a;52.206.132.31;Bread - Sticks, Thin, Plain;747.51;Ingredients: peanut, soja, sugar and fish
etomaselli4b;101.122.35.7;Wine - Chateauneuf Du Pape;473.22;May contain gluten, soja and fish
tbakes4c;6.27.54.236;Gatorade - Orange;530.25;Contains mustard, sugar and egg
bsinkins4d;0.251.101.80;Asparagus - Frozen;822.3;Contains soja, sugar and milk
jwinters4e;232.11.191.153;Appetizer - Lobster Phyllo Roll;426.77;Ingredients: mustard, sugar and fish
rfacey4f;50.170.82.179;Bread - Frozen Basket Variety;531.8;Ingredients: mustard and sugar
fyonge4g;20.0.92.197;Quail Eggs - Canned;687.04;May contain gluten and sugar
bbeel4h;178.90.118.137;Coffee - Beans, Whole;883.1;May contain peanut and sugar
bbonhan4i;58.245.10.129;Sage - Rubbed;263.8;Ingredients: soja
lmaruska4j;250.253.156.207;Crackers - Water;752.39;May contain peanut, soja and sugar
hberinger4k;242.11.31.81;Extract - Raspberry;929.8;May contain gluten, sugar, milk and fish
tcrippill4l;67.52.189.212;Juice - Happy Planet;223.26;May contain peanut, soja, sugar and fish
rfigin4m;11.97.224.132;Beef - Bones, Cut - Up;412.44;Contains peanut, sugar and fish
tchetwind4n;62.35.227.154;Onions Granulated;556.3;Ingredients: fish
btulip4o;208.41.81.254;Iced Tea - Lemon, 460 Ml;187.68;Ingredients: peanut, mustard, sugar, milk and fish
hwinscum4p;242.149.77.144;Mustard Prepared;74.42;Ingredients: sugar
abrocklesby4q;45.67.155.193;Sugar - Cubes;410.12;Ingredients: mustard and sugar
rlydiate4r;209.111.52.39;Tarts Assorted;55.95 IDR;Contains sugar and fish
eclow4s;210.67.185.34;Muffin Mix - Blueberry;213.46;Ingredients: gluten, mustard and sugar
ttatford4t;117.449.232.137;Sausage - Meat;267.91;Ingredients: gluten, sugar, egg and fish
bhackney4u;165.230.147.86;Chips - Assorted;938.69;May contain peanut, soja and sugar
lmarskell4v;204.196.159.175;Muffin - Blueberry Individual;684.8;Contains sugar and milk
dwynne4w;127.87.213.209;Lettuce Romaine Chopped;920.64;May contain gluten, soja, sugar and egg
ttruce4x;33.71.224.158;Beer - Molson Excel;720.6;Ingredients: sugar
bdeferraris4y;189.34.123.120;Tomato - Plum With Basil;739.62;Ingredients: egg
eprynne4z;215.27.56.95;Wine - Placido Pinot Grigo;255.95;Ingredients: sugar
fborrows50;185.150.178.225;Flower - Daisies;110.41;Ingredients: gluten and mustard
kmccook51;226.24.84.53;Beef - Top Butt Aaa;524.13;May contain peanut, soja, sugar and milk
hbalmann52;203.64.75.65;Langers - Ruby Red Grapfruit;133.06;Contains peanut and sugar
arawsthorne53;8.198.127.13;Crackers - Water;759.84;Contains gluten, soja, egg and fish
sspeeks54;234.138.19.48;Wine - Crozes Hermitage E.;696.31;May contain sugar and fish
gwalling55;155.124.149.117;Mushroom - Morels, Dry;937.43;Contains peanut, soja and fish
sjefferys56;249.240.100.136;Pastry - Apple Muffins - Mini;492.68;Ingredients: mustard and sugar
mcassedy57;251.190.193.91;Veal - Shank, Pieces;876.31;Contains peanut, soja and egg
rcreigan58;102.105.44.112;Juice - Grapefruit, 341 Ml;886.74;Ingredients: gluten, sugar and egg
wingree59;204.16.87.37;Cut Wakame - Hanawakaba;583.41;Ingredients: soja and sugar
gbradwell5a;89.204.46.148;Hummus - Spread;532.58;May contain sugar
ecasserley5b;82.78.162.116;Cup - 8oz Coffee Perforated;714.56;Ingredients: sugar and fish
ioxtoby5c;224.1.159.40;Brandy Cherry - Mcguinness;705.24;Ingredients: sugar
tliddyard5d;93.22.46.177;Shrimp - Black Tiger 6 - 8;300.03;Ingredients: sugar, egg and fish
dplayer5e;182.428.159.37;Tomato - Peeled Italian Canned;624.9;Contains gluten and sugar
ccannop5f;174.5.73.129;Nantucket Orange Juice;713.6;Contains gluten, mustard, sugar, milk and fish
lprovis5g;191.69.45.257;Jam - Strawberry, 20 Ml Jar;107.78;Contains gluten and sugar
iollarenshaw5h;206.30.25.226;Juice - Apple, 341 Ml;447.17 RUB;May contain gluten and soja
mjablonski5i;44.133.211.182;Mushroom - Chantrelle, Fresh;632.29;Ingredients: soja and sugar
aoggers5j;220.67.127.345;Sambuca - Opal Nera;570.56;May contain gluten, sugar and egg
